,direction,leftFitAverage,rightFitAverage,leftLine,rigthLine,slopeLeft,interceptLeft,slopeRight,interceptRight
0,C,[ -0.75454545 418.47272727],[  0.8226206 -74.9028671],[-81 480 172 288],[674 480 441 288],-0.7545454545454543,418.47272727272724,0.8226205996714697,-74.90286710124116
1,C,[ -0.75555556 418.88888889],[  0.75521552 -42.91813756],[-80 480 173 288],[692 480 438 288],-0.7555555555555555,418.8888888888888,0.7552155151974738,-42.918137560828775
2,C,[ -0.83333333 441.16666667],[  0.75615416 -43.73033109],[-46 480 183 288],[692 480 438 288],-0.8333333333333333,441.1666666666667,0.7561541649316093,-43.73033109410794
3,C,[ -0.79515776 430.06351884],[  0.79626665 -62.12782938],[-62 480 178 288],[680 480 439 288],-0.7951577563540748,430.06351884311994,0.7962666535560242,-62.127829380529384
4,C,[ -0.79850361 430.38880289],[  0.78697477 -56.89135661],[-62 480 178 288],[682 480 438 288],-0.7985036119711048,430.388802889577,0.7869747748517812,-56.891356611510545
5,C,[ -0.79739672 430.06112054],[  0.74938483 -40.94488071],[-62 480 178 288],[695 480 438 288],-0.7973967176004533,430.0611205432938,0.7493848270521,-40.9448807144295
6,C,[ -0.75 417.5 ],[  0.76081003 -44.46822894],[-83 480 172 288],[689 480 436 288],-0.7499999999999996,417.49999999999994,0.7608100287418931,-44.468228940892494
7,C,[ -0.79922242 430.48026702],[  0.78099152 -55.99135978],[-61 480 178 288],[686 480 440 288],-0.799222417840375,430.4802670187793,0.7809915178336228,-55.991359780833314
8,C,[ -0.76857161 425.80713227],[  0.83401321 -76.34806264],[-70 480 179 288],[667 480 436 288],-0.7685716126538238,425.80713227240506,0.8340132102300837,-76.34806264167227
9,C,[ -0.79383117 429.82467532],[  0.8013322 -63.9147503],[-63 480 178 288],[678 480 439 288],-0.7938311688311693,429.82467532467535,0.8013322031503849,-63.9147503002049
10,C,[ -0.76961505 425.77152512],[  0.78447762 -56.56441058],[-70 480 179 288],[683 480 439 288],-0.7696150455480453,425.77152512488965,0.7844776245163277,-56.56441058482589
11,C,[ -0.75316456 418.44936709],[  0.7897195  -58.96242726],[-81 480 173 288],[682 480 439 288],-0.7531645569620259,418.4493670886077,0.7897195018096657,-58.96242725853386
12,C,[ -0.83443709 441.58278146],[  0.77378807 -51.70411938],[-46 480 184 288],[687 480 439 288],-0.8344370860927162,441.58278145695374,0.7737880723287741,-51.70411938110707
13,C,[ -0.79032258 433.35483871],[  0.74405842 -38.51877572],[-59 480 183 288],[696 480 438 288],-0.7903225806451614,433.3548387096773,0.7440584178778049,-38.518775721194956
14,C,[ -0.77044753 426.33989198],[  0.781931   -55.27199821],[-69 480 179 288],[684 480 439 288],-0.7704475308641976,426.33989197530866,0.7819310035842292,-55.27199820788506
15,C,[ -0.75657895 419.20394737],[  0.78942541 -58.46241253],[-80 480 173 288],[682 480 438 288],-0.7565789473684217,419.2039473684212,0.7894254138558925,-58.462412528107755
16,C,[ -0.81333333 438.18666667],[  0.77442136 -51.96403713],[-51 480 184 288],[686 480 438 288],-0.8133333333333337,438.18666666666667,0.7744213587306152,-51.96403713293596
17,C,[ -0.78116105 428.08602996],[  0.75246859 -41.90470622],[-66 480 179 288],[693 480 438 288],-0.7811610486891385,428.0860299625468,0.7524685913161108,-41.904706223436996
18,C,[ -0.79813604 430.35147155],[  0.7941646  -59.37142746],[-62 480 178 288],[679 480 437 288],-0.7981360366252457,430.3514715500328,0.7941645959472948,-59.37142745552478
19,C,[ -0.83552632 441.33552632],[  0.77263643 -52.04276169],[-46 480 183 288],[688 480 440 288],-0.8355263157894729,441.33552631578925,0.7726364257115361,-52.042761693410384
20,C,[ -0.7955435 429.8849404],[  0.79264286 -58.50259262],[-62 480 178 288],[679 480 437 288],-0.7955434975982916,429.8849404020636,0.792642857928092,-58.50259261854861
21,C,[ -0.52974628 404.88145232],[  0.78042325 -54.44650691],[-141  480  220  288],[684 480 438 288],-0.5297462817147859,404.8814523184601,0.7804232519703567,-54.44650690651657
22,C,[ -0.4273935  399.67819514],[  0.75484545 -42.02376775],[-187  480  261  288],[691 480 437 288],-0.42739349519010517,399.6781951442969,0.7548454469507098,-42.0237677527149
23,C,[ -0.75471698 418.79245283],[  0.7901562  -58.10325837],[-81 480 173 288],[681 480 438 288],-0.754716981132076,418.7924528301889,0.7901561965373702,-58.10325837250555
24,C,[ -0.77651515 426.97348485],[  0.75456278 -42.70106572],[-68 480 178 288],[692 480 438 288],-0.7765151515151523,426.973484848485,0.7545627760351645,-42.701065718661695
25,C,[ -0.75193798 418.65116279],[  0.86722844 -91.84002476],[-81 480 173 288],[659 480 437 288],-0.7519379844961248,418.6511627906979,0.8672284362041738,-91.84002476369108
26,C,[ -0.77028369 425.6858156 ],[  0.76110445 -44.63299163],[-70 480 178 288],[689 480 437 288],-0.7702836879432626,425.68581560283695,0.7611044471149055,-44.63299163378612
27,C,[ -0.79614154 430.18358819],[  0.77663593 -52.97753875],[-62 480 178 288],[686 480 439 288],-0.7961415362731152,430.18358819345656,0.7766359297697049,-52.977538751118594
28,C,[ -0.771821   425.44971201],[  0.77843225 -53.45693708],[-70 480 178 288],[685 480 438 288],-0.7718210013291995,425.4497120070894,0.7784322525433431,-53.45693707992882
29,C,[ -0.77152778 425.79444444],[  0.81308743 -69.54227129],[-70 480 178 288],[675 480 439 288],-0.7715277777777773,425.79444444444437,0.8130874302612823,-69.54227128988903
30,C,[ -0.79459556 430.2166786 ],[  0.77849853 -52.53251208],[-62 480 178 288],[684 480 437 288],-0.7945955619183966,430.21667859699363,0.7784985341227674,-52.532512076864
